method,sample_id,psnr,lpips
DSS warp,session_004_scene_6_tool_3/frame_000272,15.007804870605469,0.5219264030456543
DSS warp,session_004_scene_6_tool_3/frame_000275,15.002067565917969,0.5196890830993652
DSS warp,session_004_scene_6_tool_3/frame_000278,15.013072967529297,0.5195760726928711
DSS warp,session_004_scene_6_tool_3/frame_000281,15.024682998657227,0.5238487124443054
DSS warp,session_004_scene_6_tool_3/frame_000284,15.036482810974121,0.526728630065918
DSS warp,session_004_scene_6_tool_3/frame_000287,15.048027038574219,0.5299919247627258
DSS warp,session_004_scene_6_tool_3/frame_000290,15.065960884094238,0.5223423838615417
DSS warp,session_004_scene_6_tool_3/frame_000293,15.07496452331543,0.5230734348297119
DSS warp,session_004_scene_6_tool_3/frame_000296,15.091252326965332,0.527837336063385
DSS warp,session_004_scene_6_tool_3/frame_000299,15.0531005859375,0.5196173191070557
DSS warp,session_004_scene_6_tool_3/frame_000302,15.064949989318848,0.5201534628868103
DSS warp,session_004_scene_6_tool_3/frame_000305,15.083368301391602,0.5207492113113403
DSS warp,session_004_scene_6_tool_3/frame_000308,15.104670524597168,0.5217703580856323
DSS warp,session_004_scene_6_tool_3/frame_000311,15.16508674621582,0.5099302530288696
DSS warp,session_004_scene_6_tool_3/frame_000314,15.216778755187988,0.5089591145515442
DSS warp,session_004_scene_6_tool_3/frame_000317,15.27341079711914,0.5156707167625427
DSS warp,session_004_scene_6_tool_3/frame_000320,15.279008865356445,0.5087657570838928
DSS warp,session_004_scene_6_tool_3/frame_000323,15.311427116394043,0.5096026659011841
DSS warp,session_004_scene_6_tool_3/frame_000326,15.328712463378906,0.5089007019996643
DSS warp,session_004_scene_6_tool_3/frame_000329,15.40057373046875,0.5076863765716553
DSS warp,session_004_scene_6_tool_3/frame_000332,15.374687194824219,0.5053722858428955
DSS warp,session_004_scene_6_tool_3/frame_000335,15.384379386901855,0.5075925588607788
DSS warp,session_004_scene_6_tool_3/frame_000338,15.257678985595703,0.5124497413635254
DSS warp,session_004_scene_6_tool_3/frame_000341,15.156867980957031,0.5171781778335571
DSS warp,session_004_scene_6_tool_3/frame_000344,15.006244659423828,0.5182175636291504
DSS warp,session_004_scene_6_tool_3/frame_000347,15.012134552001953,0.5368989109992981
DSS warp,session_004_scene_6_tool_3/frame_000350,15.02773666381836,0.5177884697914124
DSS warp,session_004_scene_6_tool_3/frame_000353,15.038041114807129,0.5121521949768066
DSS warp,session_004_scene_6_tool_3/frame_000356,15.033636093139648,0.5154904127120972
DSS warp,session_004_scene_6_tool_3/frame_000359,15.018173217773438,0.513259768486023
DSS warp,session_004_scene_6_tool_3/frame_000362,14.994450569152832,0.5173585414886475
DSS warp,session_004_scene_6_tool_3/frame_000365,15.022926330566406,0.5250183343887329
DSS warp,session_004_scene_6_tool_3/frame_000368,15.041204452514648,0.5127347111701965
